Scheme Name,Plan,Category Name,Crisil Rank,AuM (Cr),1W,1M,3M,6M,YTD,1Y,2Y,3Y,5Y,10Y
UTI Retirement Fund - Direct Plan - Growth,Direct Plan,Retirement Fund,,4098.97,1%,3%,6%,10%,0%,17%,12%,14%,11%,11%
UTI Retirement Benefit Pension Fund - Direct Plan,Direct Plan,Retirement Fund,,3624.16,1%,3%,6%,10%,0%,17%,12%,14%,11%,11%
UTI Retirement Fund - Regular Plan - Growth,Regular,Retirement Fund,,4098.97,1%,3%,6%,9%,0%,16%,11%,13%,10%,10%
UTI Retirement Benefit Pension Fund,Regular,Retirement Fund,,3624.16,1%,3%,6%,9%,0%,16%,11%,13%,10%,10%
Axis Retirement Savings Fund - Aggressive Plan - Regular Plan - Growth,Regular,Retirement Fund,,741.9,1%,4%,9%,12%,0%,19%,5%,9%,,
Axis Retirement Savings Fund - Aggressive Plan - Direct Plan - Growth,Direct Plan,Retirement Fund,,741.9,1%,4%,10%,13%,0%,21%,7%,11%,,
Franklin India Pension Plan - Direct - Growth,Direct Plan,Retirement Fund,,476.16,1%,3%,6%,10%,0%,15%,9%,10%,10%,11%
Franklin India Pension Plan - Growth,Regular,Retirement Fund,,476.16,1%,3%,6%,9%,0%,14%,9%,9%,9%,10%
SBI Retirement Benefit Fund - Conservative Hybrid Plan - Direct Plan - Growth,Direct Plan,Retirement Fund,,245.18,0%,3%,4%,8%,0%,15%,10%,,,
SBI Retirement Benefit Fund - Conservative Hybrid Plan - Regular Plan - Growth,Regular,Retirement Fund,,245.18,0%,3%,4%,7%,0%,15%,10%,,,
Sundaram Services Fund - Direct Plan - Growth,Direct Plan,Sectoral/Thematic,,3040.3,1%,4%,11%,18%,0%,29%,16%,26%,23%,
Sundaram Small Cap Fund - Direct Plan - Growth,Direct Plan,Small Cap Fund,3,2877.59,1%,4%,13%,27%,0%,45%,20%,32%,23%,22%
UTI Value Fund - Direct Plan - Growth,Direct Plan,Value Fund,1,7978.23,2%,6%,13%,20%,0%,27%,16%,21%,19%,16%
Axis Banking & PSU Debt Fund - Direct Plan - Growth,Direct Plan,Banking and PSU Fund,3,14362.76,0%,1%,2%,3%,0%,7%,5%,5%,7%,8%
TRUSTMF Banking & PSU Fund - Direct Plan - Growth,Direct Plan,Banking and PSU Fund,2,357.67,0%,1%,2%,3%,0%,7%,5%,,,
ICICI Prudential Banking & PSU Debt Fund - Direct Plan - Growth,Direct Plan,Banking and PSU Fund,5,8295.86,0%,1%,2%,4%,0%,8%,6%,6%,7%,8%
Axis Banking & PSU Debt Fund - Growth,Regular,Banking and PSU Fund,3,14362.76,0%,1%,2%,3%,0%,7%,5%,5%,7%,7%
ICICI Prudential Banking & PSU Debt Fund - Growth,Regular,Banking and PSU Fund,5,8295.86,0%,1%,2%,3%,0%,7%,6%,5%,7%,8%
TRUSTMF Banking & PSU Fund - Growth,Regular,Banking and PSU Fund,2,357.67,0%,1%,2%,3%,0%,7%,4%,,,
Kotak Banking and PSU Debt Fund - Direct Plan - Growth,Direct Plan,Banking and PSU Fund,2,6000.58,0%,1%,2%,3%,0%,7%,6%,5%,8%,8%
Sundaram Banking & PSU Debt Fund - Direct Plan - Growth,Direct Plan,Banking and PSU Fund,1,356.15,0%,1%,2%,3%,0%,7%,5%,4%,6%,7%
Bandhan Banking & PSU Debt Fund - Direct Plan - Growth,Direct Plan,Banking and PSU Fund,4,15674.54,0%,1%,2%,3%,0%,7%,6%,5%,7%,8%
UTI Banking & PSU Fund - Direct Plan - Growth,Direct Plan,Banking and PSU Fund,3,946.23,0%,1%,2%,3%,0%,7%,9%,7%,6%,
Sundaram Banking & PSU Debt Fund - INSTITUTIONAL - Growth,Regular,Banking and PSU Fund,2,356.15,0%,1%,2%,3%,0%,7%,5%,4%,6%,7%
Kotak Banking and PSU Debt Fund - Growth,Regular,Banking and PSU Fund,2,6000.58,0%,1%,2%,3%,0%,7%,5%,5%,7%,8%
Bandhan Banking & PSU Debt Fund - Regular Plan - Growth,Regular,Banking and PSU Fund,4,15674.54,0%,1%,2%,3%,0%,7%,5%,5%,7%,7%
UTI Banking & PSU Fund - Growth,Regular,Banking and PSU Fund,3,946.23,0%,1%,2%,3%,0%,7%,8%,7%,5%,
SBI Banking and PSU Fund - Direct Plan - Growth,Direct Plan,Banking and PSU Fund,2,4450.61,0%,1%,2%,3%,0%,7%,5%,4%,7%,8%
HSBC Banking and PSU Debt Fund - Direct Plan - Growth,Direct Plan,Banking and PSU Fund,2,4483.07,0%,1%,2%,3%,0%,7%,4%,4%,7%,7%
HSBC Banking and PSU Debt Fund - Growth,Regular,Banking and PSU Fund,1,4483.07,0%,1%,2%,3%,0%,7%,4%,4%,6%,7%
HDFC Banking & PSU Debt Fund - Direct Plan - Growth,Direct Plan,Banking and PSU Fund,5,6383.02,0%,1%,2%,3%,0%,7%,5%,5%,7%,
SBI Banking and PSU Fund - Regular Plan - Growth,Regular,Banking and PSU Fund,2,4450.61,0%,1%,2%,3%,0%,7%,5%,4%,6%,7%
Aditya Birla Sun Life Banking & PSU Debt Fund - Direct Plan - Growth,Direct Plan,Banking and PSU Fund,3,8131.61,0%,1%,2%,3%,0%,7%,6%,5%,7%,8%
Aditya Birla Sun Life Banking & PSU Debt Fund - Regular Plan - Growth,Regular,Banking and PSU Fund,3,8131.61,0%,1%,2%,3%,0%,7%,5%,5%,7%,8%
Nippon India Banking & PSU Debt Fund - Direct Plan - Growth,Direct Plan,Banking and PSU Fund,3,5292.95,0%,1%,2%,3%,0%,7%,5%,5%,7%,
HDFC Banking & PSU Debt Fund - Regular Plan - Growth,Regular,Banking and PSU Fund,5,6383.02,0%,1%,2%,3%,0%,7%,5%,5%,7%,
Canara Robeco Banking and PSU Debt Fund - Direct Plan - Growth,Direct Plan,Banking and PSU Fund,,414.06,0%,1%,2%,3%,0%,7%,,,,
Nippon India Banking & PSU Debt Fund - Regular Plan - Growth,Regular,Banking and PSU Fund,3,5292.95,0%,1%,2%,3%,0%,7%,5%,5%,7%,
Canara Robeco Banking and PSU Debt Fund - Regular Plan - Growth,Regular,Banking and PSU Fund,,414.06,0%,1%,1%,3%,0%,6%,,,,
Franklin India Banking & PSU Debt Fund - Direct Plan - Growth,Direct Plan,Banking and PSU Fund,4,653.57,0%,1%,2%,3%,0%,7%,5%,5%,7%,
Franklin India Banking & PSU Debt Fund - Regular Plan - Growth,Regular,Banking and PSU Fund,4,653.57,0%,1%,2%,3%,0%,7%,5%,5%,7%,
Tata Banking & PSU Debt Fund - Direct Plan - Growth,Direct Plan,Banking and PSU Fund,3,253.78,0%,1%,2%,3%,0%,7%,5%,5%,,
Edelweiss Banking and PSU Debt Fund - Direct Plan - Growth,Direct Plan,Banking and PSU Fund,2,328.16,0%,1%,2%,3%,0%,7%,5%,5%,8%,8%
Edelweiss Banking and PSU Debt Fund - Regular Plan - Growth,Regular,Banking and PSU Fund,2,328.16,0%,1%,2%,3%,0%,6%,4%,5%,8%,8%
Tata Banking & PSU Debt Fund - Regular Plan - Growth,Regular,Banking and PSU Fund,3,253.78,0%,1%,2%,3%,0%,7%,5%,4%,,
LIC MF Banking & PSU Debt Fund - Direct Plan - Growth,Direct Plan,Banking and PSU Fund,4,1114.94,0%,1%,2%,3%,0%,7%,5%,5%,7%,7%
LIC MF Banking & PSU Debt Fund - Growth,Regular,Banking and PSU Fund,4,1114.94,0%,1%,2%,3%,0%,6%,5%,4%,6%,7%
DSP Banking & PSU Debt Fund - Direct Plan - Growth,Direct Plan,Banking and PSU Fund,4,2544.21,0%,1%,2%,3%,0%,7%,5%,5%,7%,8%
DSP Banking & PSU Debt Fund - Regular Plan - Growth,Regular,Banking and PSU Fund,4,2544.21,0%,1%,1%,3%,0%,7%,5%,4%,7%,7%
Canara Robeco Conservative Hybrid Fund - Direct Plan - Growth,Direct Plan,Conservative Hybrid Fund,3,1023.5,0%,2%,4%,6%,0%,11%,7%,9%,11%,10%
Bandhan Corporate Bond Fund - Direct Plan - Growth,Direct Plan,Corporate Bond Fund,3,14107.55,0%,1%,2%,3%,0%,7%,5%,5%,7%,
Bandhan Corporate Bond Fund - Regular Plan - Growth,Regular,Corporate Bond Fund,3,14107.55,0%,1%,2%,3%,0%,7%,5%,4%,7%,
ICICI Prudential Corporate Bond Fund - Direct Plan - Growth,Direct Plan,Corporate Bond Fund,5,24467.61,0%,1%,2%,4%,0%,8%,6%,6%,8%,8%
HDFC Corporate Bond Fund - Direct Plan - Growth,Direct Plan,Corporate Bond Fund,3,26900.95,0%,1%,2%,3%,0%,8%,6%,5%,8%,8%
HDFC Corporate Bond Fund - Growth,Regular,Corporate Bond Fund,3,26900.95,0%,1%,2%,3%,0%,7%,5%,5%,7%,8%
SBI Corporate Bond Fund - Direct Plan - Growth,Direct Plan,Corporate Bond Fund,2,20292.49,0%,1%,2%,3%,0%,7%,5%,5%,,
Kotak Corporate Bond Fund - Direct Plan - Growth,Direct Plan,Corporate Bond Fund,3,10653.42,0%,1%,2%,3%,0%,7%,6%,5%,7%,8%
DSP Corporate Bond Fund - Direct Plan - Growth,Direct Plan,Corporate Bond Fund,1,2555.07,0%,1%,2%,3%,0%,7%,5%,4%,7%,
Nippon India Corporate Bond Fund - Direct Plan - Growth,Direct Plan,Corporate Bond Fund,4,2388.03,0%,1%,2%,3%,0%,8%,6%,6%,7%,8%
Sundaram Corporate Bond Fund - Direct Plan Growth,Direct Plan,Corporate Bond Fund,3,809.75,0%,1%,2%,3%,0%,6%,5%,5%,7%,8%
Kotak Corporate Bond Fund - Growth,Regular,Corporate Bond Fund,3,10653.42,0%,1%,2%,3%,0%,7%,5%,5%,7%,8%
DSP Corporate Bond Fund - Regular Plan - Growth,Regular,Corporate Bond Fund,1,2555.07,0%,1%,2%,3%,0%,7%,4%,4%,6%,
Axis Corporate Debt Fund - Direct Plan - Growth,Direct Plan,Corporate Bond Fund,5,4827.53,0%,1%,2%,3%,0%,8%,6%,5%,7%,
Tata Corporate Bond Fund - Direct Plan - Growth,Direct Plan,Corporate Bond Fund,,726.63,0%,1%,2%,3%,0%,8%,5%,,,
Union Corporate Bond Fund - Direct Plan - Growth,Direct Plan,Corporate Bond Fund,2,454.57,0%,1%,2%,3%,0%,7%,5%,4%,6%,
SBI Corporate Bond Fund - Regular Plan - Growth,Regular,Corporate Bond Fund,2,20292.49,0%,1%,2%,3%,0%,7%,5%,4%,,
Sundaram Corporate Bond Fund - Growth,Regular,Corporate Bond Fund,3,809.75,0%,1%,2%,3%,0%,6%,5%,4%,7%,8%
Nippon India Corporate Bond Fund - Growth,Regular,Corporate Bond Fund,5,2388.03,0%,1%,2%,3%,0%,7%,6%,5%,7%,7%
Union Corporate Bond Fund - Growth,Regular,Corporate Bond Fund,2,454.57,0%,1%,2%,3%,0%,6%,4%,4%,5%,
HSBC Corporate Bond Fund - Direct Plan - Growth,Direct Plan,Corporate Bond Fund,2,6619.72,0%,1%,2%,3%,0%,7%,5%,4%,8%,8%
Tata Corporate Bond Fund - Regular Plan - Growth,Regular,Corporate Bond Fund,,726.63,0%,1%,2%,3%,0%,7%,5%,,,
Axis Corporate Debt Fund - Growth,Regular,Corporate Bond Fund,4,4827.53,0%,1%,2%,3%,0%,7%,5%,5%,6%,
UTI Corporate Bond Fund - Direct Plan - Growth Option,Direct Plan,Corporate Bond Fund,4,3093.02,0%,1%,2%,3%,0%,7%,5%,5%,7%,
HSBC Corporate Bond Fund - Growth,Regular,Corporate Bond Fund,2,6619.72,0%,1%,2%,3%,0%,7%,4%,4%,7%,7%
Invesco India Corporate Bond Fund - Direct Plan - Growth,Direct Plan,Corporate Bond Fund,3,2551.19,0%,1%,2%,3%,0%,7%,5%,5%,7%,7%
UTI Corporate Bond Fund - Regular Plan - Growth Option,Regular,Corporate Bond Fund,4,3093.02,0%,1%,2%,3%,0%,7%,5%,5%,7%,
Aditya Birla Sun Life Corporate Bond Fund - Direct Plan - Growth,Direct Plan,Corporate Bond Fund,3,17698.28,0%,1%,2%,3%,0%,7%,6%,5%,7%,8%
Invesco India Corporate Bond Fund - Growth,Regular,Corporate Bond Fund,3,2551.19,0%,1%,2%,3%,0%,7%,5%,4%,7%,7%
Aditya Birla Sun Life Corporate Bond Fund - Regular Plan - Growth,Regular,Corporate Bond Fund,4,17698.28,0%,1%,2%,3%,0%,7%,6%,5%,7%,8%
Franklin India Corporate Debt Fund - Plan A - Direct Plan - Growth,Direct Plan,Corporate Bond Fund,4,767.2,0%,1%,2%,3%,0%,7%,5%,5%,7%,8%
Franklin India Corporate Debt Fund - Plan A - Growth,Regular,Corporate Bond Fund,3,767.2,0%,1%,2%,3%,0%,7%,5%,4%,6%,8%
ICICI Prudential Credit Risk Fund - Direct Plan - Growth,Direct Plan,Credit Risk Fund,3,7410.4,0%,1%,2%,4%,0%,8%,7%,7%,8%,9%
ICICI Prudential Credit Risk Fund - Growth,Regular,Credit Risk Fund,3,7410.4,0%,1%,2%,4%,0%,7%,6%,6%,8%,8%
Nippon India Credit Risk Fund - Direct Plan - Growth,Direct Plan,Credit Risk Fund,4,1026.14,0%,1%,2%,4%,0%,9%,7%,9%,5%,7%
HSBC Credit Risk Fund - Direct Plan - Growth,Direct Plan,Credit Risk Fund,3,562.17,0%,1%,2%,4%,0%,7%,6%,6%,5%,7%
Axis Credit Risk Fund - Direct Plan - Growth,Direct Plan,Credit Risk Fund,3,502.57,0%,1%,2%,4%,0%,8%,6%,7%,7%,
Nippon India Credit Risk Fund - Growth,Regular,Credit Risk Fund,4,1026.14,0%,1%,2%,4%,0%,8%,6%,8%,4%,6%
DSP Credit Risk Fund - Direct Plan - Growth,Direct Plan,Credit Risk Fund,2,205.33,0%,1%,10%,12%,0%,17%,13%,10%,8%,8%
HDFC Credit Risk Debt Fund - Direct Plan - Growth,Direct Plan,Credit Risk Fund,2,8282.2,0%,1%,2%,4%,0%,7%,6%,6%,8%,
Axis Credit Risk Fund - Growth,Regular,Credit Risk Fund,3,502.57,0%,1%,2%,3%,0%,7%,6%,6%,6%,
HSBC Credit Risk Fund - Regular Plan - Growth,Regular,Credit Risk Fund,3,562.17,0%,1%,1%,3%,0%,6%,5%,5%,5%,7%
DSP Credit Risk Fund - Regular Plan - Growth,Regular,Credit Risk Fund,2,205.33,0%,1%,10%,11%,0%,16%,12%,9%,7%,7%
HDFC Credit Risk Debt Fund - Regular Plan - Growth,Regular,Credit Risk Fund,2,8282.2,0%,1%,2%,3%,0%,7%,5%,6%,7%,
SBI Credit Risk Fund - Direct Plan - Growth,Direct Plan,Credit Risk Fund,3,2661.21,0%,1%,2%,4%,0%,9%,7%,7%,7%,8%
UTI Credit Risk Fund - Direct Plan - Growth,Direct Plan,Credit Risk Fund,3,417.29,0%,1%,2%,3%,0%,7%,6%,11%,-1%,4%
SBI Credit Risk Fund - Regular Plan - Growth,Regular,Credit Risk Fund,3,2661.21,0%,1%,2%,3%,0%,8%,6%,6%,7%,8%
UTI Credit Risk Fund - Growth,Regular,Credit Risk Fund,3,417.29,0%,1%,2%,3%,0%,7%,5%,10%,-2%,3%
Bandhan Credit Risk Fund - Direct Plan - Growth,Direct Plan,Credit Risk Fund,3,392.64,0%,1%,2%,3%,0%,7%,5%,5%,7%,
Aditya Birla Sun Life Credit Risk Fund - Direct Plan - Growth,Direct Plan,Credit Risk Fund,4,997.76,0%,1%,2%,4%,0%,8%,8%,8%,7%,
Bandhan Credit Risk Fund - Regular Plan - Growth,Regular,Credit Risk Fund,3,392.64,0%,1%,2%,3%,0%,6%,4%,4%,6%,
Aditya Birla Sun Life Credit Risk Fund - Regular Plan - Growth,Regular,Credit Risk Fund,4,997.76,0%,1%,2%,3%,0%,7%,7%,7%,6%,
Kotak Credit Risk Fund - Direct Plan - Growth,Direct Plan,Credit Risk Fund,1,919.32,0%,1%,2%,4%,0%,8%,5%,5%,7%,8%
Kotak Credit Risk Fund - Growth,Regular,Credit Risk Fund,1,919.32,0%,1%,2%,4%,0%,7%,4%,4%,6%,7%
Sundaram Balanced Advantage Fund - Direct Plan - Growth,Direct Plan,Dynamic Asset Allocation or Balanced Advantage,,1541.18,1%,4%,7%,11%,0%,15%,11%,12%,10%,11%
ICICI Prudential All Seasons Bond Fund - Direct Plan - Growth,Direct Plan,Dynamic Bond Fund,3,11511.25,0%,1%,2%,4%,0%,8%,7%,6%,8%,10%
ICICI Prudential All Seasons Bond Fund - Growth,Regular,Dynamic Bond Fund,5,11511.25,0%,1%,2%,3%,0%,8%,6%,5%,8%,9%
Axis Dynamic Bond Fund - Direct Plan - Growth,Direct Plan,Dynamic Bond Fund,1,1737.82,0%,1%,1%,3%,0%,7%,5%,5%,8%,9%
Axis Dynamic Bond Fund - Growth,Regular,Dynamic Bond Fund,1,1737.82,0%,1%,1%,3%,0%,7%,4%,4%,7%,8%
HDFC Dynamic Debt Fund - Direct Plan - Growth,Direct Plan,Dynamic Bond Fund,4,641.09,0%,1%,2%,3%,0%,8%,5%,6%,6%,8%
HDFC Dynamic Debt Fund - Growth,Regular,Dynamic Bond Fund,4,641.09,0%,1%,2%,3%,0%,7%,4%,5%,6%,7%
Aditya Birla Sun Life Dynamic Bond Fund - Direct Plan - Growth,Direct Plan,Dynamic Bond Fund,3,1687.6,0%,1%,2%,3%,0%,7%,7%,6%,6%,8%
Aditya Birla Sun Life Dynamic Bond Fund - Regular Plan - Growth,Regular,Dynamic Bond Fund,3,1687.6,0%,1%,2%,3%,0%,7%,6%,6%,5%,7%
Aditya Birla Sun Life Dynamic Bond Fund - Regular Plan - Discipline Advantage Plan,Regular,Dynamic Bond Fund,,1687.6,0%,1%,2%,3%,0%,7%,6%,6%,5%,7%
Kotak Dynamic Bond Fund - Direct Plan - Growth,Direct Plan,Dynamic Bond Fund,3,2450.51,0%,1%,2%,4%,0%,7%,5%,5%,8%,9%
Kotak Dynamic Bond Fund - Regular Plan - Growth,Regular,Dynamic Bond Fund,2,2450.51,0%,1%,2%,3%,0%,6%,4%,4%,7%,8%
SBI Dynamic Bond Fund - Direct Plan - Growth,Direct Plan,Dynamic Bond Fund,3,2945.18,0%,1%,2%,3%,0%,8%,6%,5%,8%,9%
UTI-Dynamic Bond Fund - Direct Plan - Growth,Direct Plan,Dynamic Bond Fund,3,434.2,0%,1%,1%,3%,0%,7%,9%,10%,6%,8%
SBI Dynamic Bond Fund - Regular Plan - Growth,Regular,Dynamic Bond Fund,4,2945.18,0%,1%,2%,3%,0%,7%,6%,4%,7%,8%
UTI-Dynamic Bond Fund - Growth,Regular,Dynamic Bond Fund,2,434.2,0%,1%,1%,3%,0%,6%,8%,9%,6%,7%
360 ONE Dynamic Bond Fund - Direct Plan - Growth,Direct Plan,Dynamic Bond Fund,2,744.01,0%,1%,2%,3%,0%,7%,5%,6%,7%,8%
Motilal Oswal ELSS Tax Saver Fund - Direct Plan - Growth,Direct Plan,ELSS,4,2760.81,2%,7%,16%,24%,1%,40%,20%,24%,20%,
Canara Robeco ELSS Tax Saver Fund - Direct Plan - Growth,Direct Plan,ELSS,2,6533.06,1%,6%,11%,16%,0%,24%,12%,20%,20%,18%
SBI Fixed Maturity Plan (FMP) - Series 77 - Direct Plan - Growth,Direct Plan,Fixed Maturity Plans - Debt,,267.87,0%,1%,2%,4%,0%,,,,,
SBI Fixed Maturity Plan (FMP) - Series 77 - Regular Plan - Growth,Regular,Fixed Maturity Plans - Debt,,267.87,0%,1%,2%,4%,0%,,,,,
Kotak FMP Series 324 - (109D) - Direct Plan - Growth,Direct Plan,Fixed Maturity Plans - Debt,,299.78,0%,1%,,,0%,,,,,
Kotak FMP Series 324 - (109D) - Regular Plan - Growth,Regular,Fixed Maturity Plans - Debt,,299.78,0%,1%,,,0%,,,,,
DSP FMP Series - 267 - 1246D - Direct Plan - Growth,Direct Plan,Fixed Maturity Plans - Debt,,610.43,0%,1%,2%,3%,0%,7%,,,,
Kotak FMP Series 300 - (1223D) - Direct Plan - Growth,Direct Plan,Fixed Maturity Plans - Debt,,221.91,0%,1%,2%,3%,0%,7%,,,,
SBI Fixed Maturity Plan (FMP) - Series 72 - Direct Plan - Growth,Direct Plan,Fixed Maturity Plans - Debt,,301.4,0%,1%,2%,3%,0%,7%,,,,
DSP FMP Series - 267 - 1246D - Regular Plan - Growth,Regular,Fixed Maturity Plans - Debt,,610.43,0%,1%,2%,3%,0%,7%,,,,
Kotak FMP Series 300 - (1223D) - Regular Plan - Growth,Regular,Fixed Maturity Plans - Debt,,221.91,0%,1%,2%,3%,0%,7%,,,,
SBI Fixed Maturity Plan (FMP) - Series 72 - Regular Plan - Growth,Regular,Fixed Maturity Plans - Debt,,301.4,0%,1%,2%,3%,0%,7%,,,,
UTI Fixed Term Income Fund - Series XXXV - Plan I - (1260 Days) - Direct Plan - Growth,Direct Plan,Fixed Maturity Plans - Debt,,291.48,0%,1%,2%,3%,0%,7%,,,,
UTI Fixed Term Income Fund - Series XXXV - Plan I - (1260 Days) - Growth,Regular,Fixed Maturity Plans - Debt,,291.48,0%,1%,2%,3%,0%,7%,,,,
SBI Fixed Maturity Plan (FMP) - Series 75 - Direct Plan - Growth,Direct Plan,Fixed Maturity Plans - Debt,,322.68,0%,1%,2%,4%,0%,,,,,
SBI Fixed Maturity Plan (FMP) - Series 75 - Regular Plan - Growth,Regular,Fixed Maturity Plans - Debt,,322.68,0%,1%,2%,4%,0%,,,,,
SBI Fixed Maturity Plan (FMP) - Series 67 - Direct Plan - Growth,Direct Plan,Fixed Maturity Plans - Debt,,523.13,0%,1%,2%,3%,0%,7%,,,,
SBI Fixed Maturity Plan (FMP) - Series 67 - Regular Plan - Growth,Regular,Fixed Maturity Plans - Debt,,481.5,0%,1%,2%,3%,0%,7%,,,,
SBI Fixed Maturity Plan (FMP) - Series 67 - Regular Plan - Growth,Regular,Fixed Maturity Plans - Debt,,523.13,0%,1%,2%,3%,0%,7%,,,,
HDFC FMP 1359D September 2022 (46) - Direct Plan - Growth,Direct Plan,Fixed Maturity Plans - Debt,,291.09,0%,1%,2%,3%,0%,7%,,,,
HDFC FMP 1359D September 2022 (46) - Direct Plan - Growth,Direct Plan,Fixed Maturity Plans - Debt,,278.53,0%,1%,2%,3%,0%,7%,,,,
HDFC FMP 1359D September 2022 (46) - Growth,Regular,Fixed Maturity Plans - Debt,,291.09,0%,1%,2%,3%,0%,7%,,,,
HDFC FMP 1359D September 2022 (46) - Growth,Regular,Fixed Maturity Plans - Debt,,278.53,0%,1%,2%,3%,0%,7%,,,,
SBI Fixed Maturity Plan (FMP) - Series 49 - Direct Plan - Growth,Direct Plan,Fixed Maturity Plans - Debt,,349.31,0%,1%,2%,3%,0%,7%,5%,,,
SBI Fixed Maturity Plan (FMP) - Series 53 - Direct Plan - Growth,Direct Plan,Fixed Maturity Plans - Debt,,275.09,0%,1%,2%,3%,0%,7%,5%,,,
SBI Fixed Maturity Plan (FMP) - Series 49 - Regular Plan - Growth,Regular,Fixed Maturity Plans - Debt,,349.31,0%,1%,2%,3%,0%,7%,5%,,,
SBI Fixed Maturity Plan (FMP) - Series 53 - Regular Plan - Growth,Regular,Fixed Maturity Plans - Debt,,275.09,0%,1%,2%,3%,0%,7%,5%,,,
SBI Fixed Maturity Plan (FMP) - Series 51 - Direct Plan - Growth,Direct Plan,Fixed Maturity Plans - Debt,,266.13,0%,1%,2%,3%,0%,7%,5%,,,
SBI Fixed Maturity Plan (FMP) - Series 55 - Direct Plan - Growth,Direct Plan,Fixed Maturity Plans - Debt,,225.92,0%,1%,2%,3%,0%,7%,5%,,,
HDFC FMP 1861D March 2022 (46) - Direct Plan - Growth,Direct Plan,Fixed Maturity Plans - Debt,,414.19,0%,1%,2%,3%,0%,7%,,,,
SBI Fixed Maturity Plan (FMP) - Series 51 - Regular Plan - Growth,Regular,Fixed Maturity Plans - Debt,,266.13,0%,1%,2%,3%,0%,7%,5%,,,
SBI Fixed Maturity Plan (FMP) - Series 55 - Regular Plan - Growth,Regular,Fixed Maturity Plans - Debt,,225.92,0%,1%,2%,3%,0%,7%,5%,,,
HDFC FMP 1861D March 2022 (46) - Growth,Regular,Fixed Maturity Plans - Debt,,414.19,0%,1%,2%,3%,0%,7%,,,,
SBI Fixed Maturity Plan (FMP) - Series 44 - Direct Plan - Growth,Direct Plan,Fixed Maturity Plans - Debt,,343.68,0%,1%,2%,3%,0%,7%,5%,,,
SBI Fixed Maturity Plan (FMP) - Series 44 - Regular Plan - Growth,Regular,Fixed Maturity Plans - Debt,,343.68,0%,1%,2%,3%,0%,7%,5%,,,
SBI Fixed Maturity Plan (FMP) - Series 42 - Direct Plan - Growth,Direct Plan,Fixed Maturity Plans - Debt,,375.39,0%,1%,2%,3%,0%,7%,5%,,,
SBI Fixed Maturity Plan (FMP) - Series 42 - Direct Plan - Growth,Direct Plan,Fixed Maturity Plans - Debt,,427.73,0%,1%,2%,3%,0%,7%,5%,,,
SBI Fixed Maturity Plan (FMP) - Series 64 - Direct Plan - Growth,Direct Plan,Fixed Maturity Plans - Debt,,361.39,0%,1%,2%,3%,0%,7%,,,,
HDFC FMP 1406D August 2022 (46) - Direct Plan - Growth,Direct Plan,Fixed Maturity Plans - Debt,,226.22,0%,1%,2%,3%,0%,7%,,,,
SBI Fixed Maturity Plan (FMP) - Series 58 - Direct Plan - Growth,Direct Plan,Fixed Maturity Plans - Debt,,223.1,0%,1%,2%,3%,0%,7%,,,,
SBI Fixed Maturity Plan (FMP) - Series 61 - Direct Plan - Growth,Direct Plan,Fixed Maturity Plans - Debt,,297.4,0%,1%,2%,3%,0%,7%,,,,
SBI Fixed Maturity Plan (FMP) - Series 42 - Regular Plan - Growth,Regular,Fixed Maturity Plans - Debt,,375.39,0%,1%,2%,3%,0%,7%,5%,,,
SBI Fixed Maturity Plan (FMP) - Series 42 - Regular Plan - Growth,Regular,Fixed Maturity Plans - Debt,,427.73,0%,1%,2%,3%,0%,7%,5%,,,
SBI Fixed Maturity Plan (FMP) - Series 58 - Regular Plan - Growth,Regular,Fixed Maturity Plans - Debt,,223.1,0%,1%,2%,3%,0%,7%,,,,
SBI Fixed Maturity Plan (FMP) - Series 64 - Regular Plan - Growth,Regular,Fixed Maturity Plans - Debt,,361.39,0%,1%,2%,3%,0%,7%,,,,
SBI Fixed Maturity Plan (FMP) - Series 61 - Regular Plan - Growth,Regular,Fixed Maturity Plans - Debt,,297.4,0%,1%,2%,3%,0%,7%,,,,
SBI Fixed Maturity Plan (FMP) - Series 60 - Direct Plan - Growth,Direct Plan,Fixed Maturity Plans - Debt,,219.55,0%,1%,2%,3%,,7%,,,,
Nippon India Fixed Horizon Fund XLIII - Series 1 - Direct Plan - Growth,Direct Plan,Fixed Maturity Plans - Debt,,201.97,0%,1%,2%,3%,0%,7%,5%,,,
SBI Fixed Maturity Plan (FMP) - Series 45 - Direct Plan - Growth,Direct Plan,Fixed Maturity Plans - Debt,,201.76,0%,1%,2%,3%,0%,7%,5%,,,
HDFC FMP 1406D August 2022 (46) - Growth,Regular,Fixed Maturity Plans - Debt,,226.22,0%,1%,2%,3%,0%,7%,,,,
SBI Fixed Maturity Plan (FMP) - Series 60 - Regular Plan - Growth,Regular,Fixed Maturity Plans - Debt,,219.55,0%,1%,2%,3%,0%,7%,,,,
SBI Fixed Maturity Plan (FMP) - Series 45 - Regular Plan - Growth,Regular,Fixed Maturity Plans - Debt,,201.76,0%,1%,2%,3%,0%,7%,5%,,,
Aditya Birla Sun Life Fixed Term Plan - Series TI (1837) - Direct Plan - Growth,Direct Plan,Fixed Maturity Plans - Debt,,279.75,0%,1%,2%,3%,0%,7%,5%,,,
Nippon India Fixed Horizon Fund XLIII - Series 1 - Growth,Regular,Fixed Maturity Plans - Debt,,201.97,0%,1%,2%,3%,0%,7%,5%,,,
